Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/02  01:00:00,-8.25,0.0,0.0,-181.8464625988126,1213.213928526813,-357.36212568583085,1012.2777828681449,-187.02559503184895,720.4493375433433,-215.3705495019174,706.9581804653074,1043.9545491342692,-997.7135885473656,-114.13956853513619,425.64665876839337,8.599489434486415 
 01/02  02:00:00,-9.625,0.0,0.0,-194.8871141340211,1088.2647693464437,-357.6772188669637,934.1505288193589,-191.4616384695052,656.895435858409,-215.95916074800806,648.0800750631965,1070.198450482788,-1007.8209897311369,-125.0221144650234,549.2137907896827,8.412688495508046 
 01/02  03:00:00,-10.0,0.0,0.0,-206.37410719843805,1082.8821825926989,-357.212179949027,938.1590026470222,-195.0128773019684,658.3268673995337,-216.16058708012943,647.5063380915053,1099.3022888010992,-1021.6007229371908,-140.5618159417753,298.7420519760119,8.198049031550646 
 01/02  04:00:00,-10.625,0.0,0.0,-218.36935669997237,1265.340090065812,-358.13161663222115,1113.2329790569875,-199.01277267094517,791.6145937988895,-217.4390556444675,750.1450192341792,1125.6336520697023,-1038.8948079437046,-147.73248657568905,117.34313373471764,7.987883323403133 
 01/02  05:00:00,-11.625,0.0,0.0,-231.1879364651414,1466.957394086596,-360.7571145225151,1332.6398895859375,-203.7268802533987,920.6989891612643,-219.97298656010588,898.3029927604846,1148.235908652013,-1058.5310553433874,-146.8768955655859,171.3337629344653,7.7925157899507145 
 01/02  06:00:00,-13.875,0.0,0.0,-243.41155504534865,1804.5775372846856,-363.54098819054155,1651.353317306513,-208.2756715878993,1135.988941340644,-222.67879040799846,1124.0164914153502,1170.6932843046789,-1079.1492279977742,-147.965973584144,524.2819661875005,7.596389218345227 
 01/02  07:00:00,-14.375,0.0,0.0,-253.83859780323866,1843.2957284267452,-365.17210197133886,1673.893581159162,-211.85690104063707,1165.7662134395828,-224.6497474106333,1136.1748046658802,1197.2609124216629,-1100.302424184934,-159.1024321757752,291.21442960857087,7.3757476446262 
 01/02  08:00:00,-13.375,14.0625,54.375,-265.6714740040762,1073.5673337775668,-368.73143044583975,1353.1663188911639,-216.47102823373103,531.6926467283805,-227.87525164662725,919.4591339734736,1225.3130351959178,-1122.5242894730509,-164.35397990311506,-62.20508439537389,7.141450687598638 
 01/02  09:00:00,-11.75,66.3125,127.8125,-281.42629205533797,-371.73182558009495,-376.7867038521437,612.5833340413449,-223.686739950228,-372.93021279980013,-234.0288206131379,435.46944150242985,1251.318761240987,-1146.0460693292237,-152.1936558406522,-464.32387176463624,6.912054662773437 
 01/02  10:00:00,-8.5,78.9375,10.4375,-298.53557580259564,366.34970194007803,-388.57002104543716,239.46754770922058,-231.49016019940643,237.81716185378514,-242.62115848539295,167.92899304058983,1273.3538595381897,-1170.2480387869944,-127.71710699365633,-190.4583828014525,6.702231766001806 
