Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SOUTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),SOUTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),NORTHWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),EASTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),WESTWALL:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),FLOORSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),ROOFSURFACE:Surface Outside Face Conduction Heat Transfer Rate [W](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly) 
 01/01  12:00:00,1.375,195.0625,280.875,-106.71737940581897,-63.99552594419761,-138.3200042990905,79.52900843209757,-79.15105937311239,55.091223906524824,-88.94717072033933,48.16268611103834,409.1028149837298,-434.33858746378405,7.259942142848477,765.8868428002804,14.098954545787848 
 01/01  13:00:00,2.25,200.125,92.75,-103.51561083287675,10.882523871316003,-137.01749104008414,63.53255120920118,-77.16993430451936,47.679776163682334,-88.2653408312953,31.563978768411523,411.87040754102145,-429.22567391688744,-6.73434060430716,284.6800562406685,14.108558991340198 
 01/01  14:00:00,2.375,140.5625,15.0,-97.64184084079159,91.66460675298784,-133.96845122225804,89.26515728912483,-74.01411721779874,63.7210829881836,-86.39568956505781,52.97603810976469,416.2682362994726,-424.90055633694556,-24.806988299883482,599.6450391768271,14.099974230204309 
 01/01  15:00:00,1.375,63.5,0.75,-90.54412156244854,130.0785777925813,-129.9315795540755,118.83636506081389,-70.48305538558185,83.01518713350319,-83.84940876177035,78.6891660631898,421.33405533616406,-422.556143483607,-48.8266906681654,605.0685577160191,14.08070058295506 
 01/01  16:00:00,1.0,44.1875,31.875,-83.43040258972664,101.90630587660152,-125.3556022862995,121.34392039882695,-66.94894763536462,84.35291118410068,-80.88623456335324,57.4680121216527,426.7785526651405,-421.95779034816655,-72.01372453205215,223.86275162221148,14.05098816898196 
 01/01  17:00:00,0.375,8.4375,74.375,-79.20451987352311,128.3533160849596,-122.85556745452561,142.3392760153715,-65.05194863865631,98.10856405133177,-79.22830231928782,69.06506038689417,428.85895372356094,-422.772390988865,-83.5164768781827,415.28204733036716,14.035904036745519 
 01/01  18:00:00,-0.625,0.0,0.0,-75.61477105618957,165.13349686096547,-120.20144990674365,154.6789600133086,-63.30624858300985,106.1442509750318,-77.44539438936442,104.3388395037333,431.41725075334057,-424.13123462593876,-96.60526452325686,306.07074126533234,14.016829112251159 
 01/01  19:00:00,-1.625,0.0,0.0,-72.85859458026121,175.85997162287842,-117.82673291747443,166.37642749726285,-61.90972791826431,113.76854198193594,-75.72894646674877,111.68287289968748,433.96871463864204,-425.7602075558318,-107.14195245352698,277.7592246261374,13.996551885991986 
 01/01  20:00:00,-3.25,0.0,0.0,-71.05185234950554,196.48921566770417,-115.98201938889127,187.56203246582683,-60.971903479991965,127.77981000045281,-74.30353183520492,125.70442783062488,436.1953602329113,-427.6175590459377,-115.55017106774456,331.0825248659803,13.977506412717405 
 01/01  21:00:00,-4.625,0.0,0.0,-69.43794822130923,208.36270063997947,-113.94528888313954,200.11444866280107,-59.991158211467905,135.9930326204452,-72.7945821822467,133.86473382306437,439.29240978031976,-429.5977490170101,-124.83880732721123,317.5517910378391,13.953316473425506 
 01/01  22:00:00,-5.625,0.0,0.0,-68.27122729539929,217.92348135162578,-112.05133794239012,210.16336511603086,-59.153390858058344,142.54522746208795,-71.44519077674096,140.48496332097375,442.785046827908,-431.79669243427884,-133.72751732925315,307.9966639534239,13.925279762394462 
 01/01  23:00:00,-6.625,0.0,0.0,-67.60961714062941,229.51612448827444,-110.45351099574441,222.14914295754022,-58.53513348350543,150.46763329700465,-70.34807624439975,148.34510312920239,446.4515191890305,-434.287095644449,-141.48894523117377,265.26631311276327,13.895194108111829 
 01/01  24:00:00,-7.0,0.0,0.0,-67.58671848035382,230.46122203847762,-109.3610288012469,223.3746976486406,-58.256005814470825,151.19031275945562,-69.62276828236361,149.13953418722437,449.97233778492887,-437.05011043169384,-147.03770945296247,185.60918955994293,13.865127257125827 
 01/02  01:00:00,-8.25,0.0,0.0,-68.14842438721058,246.62146153317306,-108.7794957354557,239.87160162923442,-58.31202834628078,161.98292486270805,-69.2624043384306,160.2571913298398,453.2966318124795,-440.0024194089506,-150.86299032797555,450.79567620694627,13.836179691883281 
 01/02  02:00:00,-9.625,0.0,0.0,-67.50847154647641,263.3336871961559,-106.93383461973482,257.0875511389145,-57.56658382892516,173.31604580614678,-68.11877239264521,171.66935529172622,459.16740429494257,-443.0940658383313,-162.60277005720414,574.5936219962869,13.791298654616497 
 01/02  03:00:00,-10.0,0.0,0.0,-65.87194841760649,258.82467559951465,-104.04006525476686,252.7616448203786,-56.142854686585224,170.37275664593727,-66.30799002361402,168.76812443358807,467.23068406521315,-446.72287574339066,-178.91479423392494,330.27748358849067,13.729810813976698 
 01/02  04:00:00,-10.625,0.0,0.0,-65.70109515346434,268.0507712813413,-102.63090568673664,261.95507541455856,-55.65112214108984,176.66102936507696,-65.45218729038959,174.74697237100168,473.43657414404515,-451.260031320654,-186.97523829476708,157.7553282473998,13.676717616421069 
 01/02  05:00:00,-11.625,0.0,0.0,-67.27693828710031,279.43738191711634,-103.02249448760367,273.6625630484938,-56.30170458111297,184.21180523145307,-65.76574857013367,182.60038696034056,477.2593540715634,-456.2909125455967,-187.26666497908343,214.5425657703206,13.638262353100917 
 01/02  06:00:00,-13.875,0.0,0.0,-68.7724270835042,316.0601877761072,-103.36066953558964,310.34028662807987,-56.91629967933886,208.63481874314186,-66.05901977690075,207.1212366020012,481.632326174868,-461.19439766843107,-189.64883293447528,566.4702306498914,13.597803417459073 
 01/02  07:00:00,-14.375,0.0,0.0,-68.42898681324661,312.15893212527806,-101.852463251193,306.65129389630124,-56.34418388133321,206.09376634722145,-65.16919106969851,204.6322173670869,489.4001968395319,-465.99011009333276,-202.12969943741894,333.8182571377761,13.535670388225853 
 01/02  08:00:00,-13.375,14.0625,54.375,-68.8445308588102,237.9627781278158,-101.12609250791277,283.28788160090824,-56.250680531583214,142.38978692383265,-64.76812829321335,189.04008631881905,496.44350752276773,-471.27266870733274,-208.80144067885698,-20.899646792614703,13.475606441619483 
 01/02  09:00:00,-11.75,66.3125,127.8125,-72.60346761283876,128.82310867095305,-103.82775864483116,227.9828976159271,-58.33015121981566,80.79357597186268,-66.56908346121332,152.80645677608288,498.5658603020572,-476.97139803821847,-198.04177709682887,-431.6765358212183,13.445757702535035 
 01/02  10:00:00,-8.5,78.9375,10.4375,-79.2663966799264,204.3755696018261,-109.61180282942715,189.03762559265746,-62.30301137539084,134.9702576476434,-70.37118745344884,126.17047663405701,496.20958132070973,-482.0572205017427,-174.5493776749286,-154.93015133200083,13.447928404930972 
 01/02  11:00:00,-6.375,107.9375,58.875,-84.98217677083301,49.58901038556952,-114.77881069880561,146.81226130794096,-65.63577247530714,77.80445134617713,-73.79202508739019,98.00370192612468,495.0427479522432,-485.6625929053007,-155.86239820204545,-764.1248359949993,13.446285426209606 
 01/02  12:00:00,-6.0,186.375,273.5625,-94.77376148765973,-176.95480729993014,-124.34165503890509,100.95322239092425,-71.56495196554846,53.0766965165527,-80.02017373492191,67.42104921740895,486.7230303775177,-487.9635615558793,-110.71033653696692,-1627.5899912763794,13.487201538188081 
 01/02  13:00:00,-5.375,177.8125,171.875,-108.94542933238932,27.671301533664607,-138.58252846108823,132.80814286286554,-80.49671128433948,92.0904678912411,-89.3037787778062,71.71536941461031,470.18422626159986,-488.01212859038014,-48.09871346622239,402.22284070952827,13.583344196054398 
 01/02  14:00:00,-5.0,89.8125,125.0,-110.30945128218738,-5.020022390372162,-140.58932563152771,140.94094495712662,-81.65798875798555,96.27213393258529,-90.76815129740942,33.6074269529173,471.7077329492024,-484.80068306638987,-50.9443145161964,351.7555538643873,13.590261197335366 
 01/02  15:00:00,-5.625,110.8125,449.25,-108.00951669188203,-104.25411316256265,-139.7014894246846,149.05520271050563,-80.96944135747583,101.54056182621515,-90.25893242055736,-43.929899222091876,476.48667380241,-481.6238283147386,-56.46566702184257,-103.92322616098056,13.568174338303141 
 01/02  16:00:00,-6.625,31.6875,61.8125,-106.371837450003,215.41864251041923,-140.05226955829355,207.1742627613444,-81.20123877859504,140.13493590418804,-90.43525551008429,130.0801943863318,477.85101475429633,-480.0710343469377,-62.79756488445641,1431.4920684706192,13.56813323405142 
 01/02  17:00:00,-7.625,7.0,56.875,-95.57646004048783,209.83026401715057,-131.6503705475764,222.7099465543678,-75.92083593618736,150.3406210098779,-84.52680709342593,124.86564653309372,492.312653374428,-479.57338501726895,-109.97893297338541,704.3518118526276,13.485903972695041 
